Team,GP,W,L,W/L%,G,GA,DIFF,CQF GP,CQF W-L%,CSF GP,CSF W-L%,CF GP,CF W-L%,F GP,F W-L%,PF ELITE OFF,REG ELITE OFF,REG DEF,PO ELITE DEF,ELIETE OFF SCORE,ELIETE DEF SCORE ,Champ,Rk,3P%,2P%,FT%
Toronto Raptors,34,20,14,0.588235294,3363,3395,-32,6,0.333333333,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,10,0.368,0.46,0.804
Dallas Mavericks,35,25,10,0.714285714,3497,3537,-40,6,0.333333333,0,0,0,0,0,0,1,2,1,2,1.25,1.75,0,11,0.316,0.463,0.772
Los Angeles Lakers,32,13,19,0.40625,3291,3343,-52,5,0.2,0,0,0,0,0,0,1,0,0,1,0.75,0.75,0,12,0.323,0.477,0.722
Denver Nuggets,35,20,15,0.571428571,3615,3645,-30,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,13,0.319,0.446,0.781
Orlando Magic,31,13,18,0.419354839,2942,2978,-36,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,14,0.345,0.492,0.579
Miami Heat,33,18,15,0.545454545,2996,3040,-44,4,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,15,0.324,0.481,0.615
Washington Wizards,35,11,24,0.314285714,3522,3557,-35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.305,0.448,0.77
Boston Celtics,56,41,15,0.732142857,5462,5326,136,7,0.571428571,7,0.571428571,6,0.666666667,6,0.666666667,5,1,1,7,4,5.5,3,1,0.359,0.472,0.783
Los Angeles Lakers,49,34,15,0.693877551,5232,5186,46,4,1,6,0.666666667,5,0.8,6,0.333333333,5,1,0,3,4,2.25,2,2,0.367,0.5,0.753
Detroit Pistons,45,30,15,0.666666667,4284,4245,39,6,0.666666667,5,0.8,6,0.333333333,0,0,4,0,1,5,3,4,2,3,0.341,0.48,0.802
San Antonio Spurs,47,30,17,0.638297872,4418,4433,-15,5,0.8,7,0.571428571,5,0.2,0,0,3,2,0,3,2.75,2.25,1,4,0.375,0.469,0.745
New Orleans Hornets,42,26,16,0.619047619,4205,4161,44,5,0.8,7,0.428571429,0,0,0,0,3,2,2,3,2.75,2.75,1,5,0.411,0.475,0.774
Cleveland Cavaliers,41,22,19,0.536585366,3824,3796,28,6,0.666666667,7,0.428571429,0,0,0,0,2,1,1,3,1.75,2.5,1,6,0.345,0.446,0.721
Utah Jazz,40,25,15,0.625,4193,4196,-3,6,0.666666667,6,0.333333333,0,0,0,0,4,2,0,2,3.5,1.5,1,7,0.35,0.469,0.75
Orlando Magic,36,23,13,0.638888889,3709,3693,16,5,0.8,5,0.2,0,0,0,0,4,1,0,3,3.25,2.25,0,8,0.356,0.527,0.712
Atlanta Hawks,37,18,19,0.486486486,3722,3806,-84,7,0.428571429,0,0,0,0,0,0,2,0,1,2,1.5,1.75,0,9,0.322,0.43,0.782
Houston Rockets,35,24,11,0.685714286,3388,3403,-15,6,0.333333333,0,0,0,0,0,0,1,0,0,0,0.75,0,0,10,0.292,0.449,0.682
Philadelphia 76ers,33,18,15,0.545454545,3225,3267,-42,6,0.333333333,0,0,0,0,0,0,0,1,0,1,0.25,0.75,0,11,0.234,0.439,0.722
Washington Wizards,35,20,15,0.571428571,3435,3455,-20,6,0.333333333,0,0,0,0,0,0,1,0,0,1,0.75,0.75,0,12,0.305,0.468,0.764
Phoenix Suns,33,19,14,0.575757576,3585,3595,-10,5,0.2,0,0,0,0,0,0,0,2,1,1,0.5,1,0,13,0.338,0.488,0.638
Toronto Raptors,35,13,22,0.371428571,3534,3557,-23,5,0.2,0,0,0,0,0,0,0,1,0,0,0.25,0,0,14,0.35,0.468,0.865
Dallas Mavericks,33,17,16,0.515151515,3348,3392,-44,5,0.2,0,0,0,0,0,0,1,1,0,0,1,0,0,15,0.346,0.421,0.787
Denver Nuggets,33,17,16,0.515151515,3810,3863,-53,4,0,0,0,0,0,0,0,0,1,0,0,0.25,0,0,16,0.25,0.472,0.741
Los Angeles Lakers,51,37,14,0.725490196,5248,5082,166,5,0.8,7,0.571428571,6,0.666666667,5,0.8,5,1,2,6,4,5,3,1,0.377,0.491,0.747
Orlando Magic,53,33,20,0.622641509,5207,5163,44,6,0.666666667,7,0.571428571,6,0.666666667,5,0.2,3,1,1,4,2.5,3.25,2,2,0.36,0.501,0.722
Cleveland Cavaliers,44,35,9,0.795454545,4351,4232,119,4,1,4,1,6,0.333333333,0,0,4,1,1,4,3.25,3.25,2,3,0.336,0.508,0.742
Denver Nuggets,44,27,17,0.613636364,4694,4556,138,5,0.8,5,0.8,6,0.333333333,0,0,4,0,1,6,3,4.75,1,4,0.383,0.509,0.759
Boston Celtics,41,25,16,0.609756098,4133,4133,0,7,0.571428571,7,0.428571429,0,0,0,0,5,0,1,5,3.75,4,1,5,0.36,0.469,0.791
Houston Rockets,41,27,14,0.658536585,3932,3951,-19,6,0.666666667,7,0.428571429,0,0,0,0,5,1,1,3,4,2.5,1,6,0.328,0.49,0.768
Dallas Mavericks,39,23,16,0.58974359,4003,4012,-9,5,0.8,5,0.2,0,0,0,0,3,1,0,3,2.5,2.25,1,7,0.354,0.514,0.813
Atlanta Hawks,39,19,20,0.487179487,3640,3718,-78,7,0.571428571,4,0,0,0,0,0,3,0,2,2,2.25,2,0,8,0.347,0.428,0.744
Miami Heat,36,18,18,0.5,3567,3561,6,7,0.428571429,0,0,0,0,0,0,1,1,1,1,1,1,0,9,0.357,0.487,0.816
Chicago Bulls,35,20,15,0.571428571,3709,3739,-30,7,0.428571429,0,0,0,0,0,0,1,1,2,1,1,1.25,0,10,0.378,0.459,0.809
Philadelphia 76ers,35,16,19,0.457142857,3413,3459,-46,6,0.333333333,0,0,0,0,0,0,2,1,1,0,1.75,0.25,0,11,0.368,0.476,0.71
Portland Trail Blazers,35,23,12,0.657142857,3440,3472,-32,6,0.333333333,0,0,0,0,0,0,1,2,2,0,1.25,0.5,0,12,0.388,0.461,0.763
New Orleans Hornets,35,18,17,0.514285714,3295,3416,-121,5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.326,0.421,0.807
San Antonio Spurs,35,20,15,0.571428571,3316,3346,-30,5,0.2,0,0,0,0,0,0,1,2,1,0,1.25,0.25,0,14,0.33,0.495,0.709
Utah Jazz,33,18,15,0.545454545,3426,3472,-46,5,0.2,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,15,0.342,0.452,0.742
Detroit Pistons,34,12,22,0.352941176,3165,3227,-62,4,0,0,0,0,0,0,0,1,0,1,0,0.75,0.25,0,16,0.245,0.44,0.828
Los Angeles Lakers,50,31,19,0.62,4987,4899,88,6,0.666666667,4,1,6,0.666666667,7,0.571428571,5,0,2,5,3.75,4.25,3,1,0.394,0.489,0.809
Boston Celtics,55,32,23,0.581818182,5357,5291,66,5,0.8,6,0.666666667,6,0.666666667,7,0.428571429,5,0,1,8,3.75,6.25,2,2,0.331,0.482,0.777
Phoenix Suns,43,32,11,0.744186047,4723,4649,74,6,0.666666667,4,1,6,0.333333333,0,0,5,2,1,5,4.25,4,2,3,0.316,0.485,0.816
Orlando Magic,41,32,9,0.780487805,4199,4078,121,4,1,4,1,6,0.333333333,0,0,4,1,1,3,3.25,2.5,1,4,0.329,0.451,0.784
Cleveland Cavaliers,39,24,15,0.615384615,3988,3974,14,5,0.8,6,0.333333333,0,0,0,0,3,1,1,3,2.5,2.5,1,5,0.318,0.457,0.76
Atlanta Hawks,41,23,18,0.56097561,4033,4108,-75,7,0.571428571,4,0,0,0,0,0,3,1,2,3,2.5,2.75,1,6,0.323,0.459,0.726
San Antonio Spurs,40,23,17,0.575,4038,4072,-34,6,0.666666667,4,0,0,0,0,0,3,1,1,2,2.5,1.75,1,7,0.465,0.465,0.779
Utah Jazz,39,23,16,0.58974359,4204,4226,-22,6,0.666666667,4,0,0,0,0,0,4,1,2,2,3.25,2,0,8,0.289,0.489,0.776
Milwaukee Bucks,37,25,12,0.675675676,3540,3566,-26,7,0.428571429,0,0,0,0,0,0,1,0,1,0,0.75,0.25,0,9,0.321,0.49,0.742
Denver Nuggets,35,20,15,0.571428571,3701,3708,-7,6,0.333333333,0,0,0,0,0,0,2,0,1,2,1.5,1.75,0,10,0.262,0.475,0.737
Oklahoma City Thunder,36,21,15,0.583333333,3762,3772,-10,6,0.333333333,0,0,0,0,0,0,1,0,2,0,0.75,0.5,0,11,0.3,0.499,0.783
Dallas Mavericks,34,24,10,0.705882353,3462,3465,-3,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,12,0.294,0.48,0.76
Portland Trail Blazers,32,20,12,0.625,3131,3193,-62,6,0.333333333,0,0,0,0,0,0,0,1,0,0,0.25,0,0,13,0.37,0.44,0.706
Chicago Bulls,34,15,19,0.441176471,3388,3434,-46,5,0.2,0,0,0,0,0,0,1,1,2,1,1,1.25,0,14,0.377,0.417,0.77
Miami Heat,32,20,12,0.625,3041,3082,-41,5,0.2,0,0,0,0,0,0,1,0,0,0,0.75,0,0,15,0.39,0.42,0.724
Charlotte Bobcats,34,18,16,0.529411765,3212,3249,-37,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,16,0.347,0.401,0.747
Dallas Mavericks,46,32,14,0.695652174,4627,4506,121,6,0.666666667,4,1,5,0.8,6,0.666666667,4,1,1,5,3.25,4,3,1,0.381,0.499,0.766
Miami Heat,46,30,16,0.652173913,4493,4437,56,5,0.8,5,0.8,5,0.8,6,0.333333333,4,3,1,4,3.75,3.25,2,2,0.378,0.492,0.763
Oklahoma City Thunder,43,28,15,0.651162791,4470,4438,32,5,0.8,7,0.571428571,5,0.2,0,0,4,0,2,6,3,5,2,3,0.327,0.47,0.74
Chicago Bulls,43,33,10,0.76744186,4141,4073,68,5,0.8,6,0.666666667,5,0.2,0,0,4,0,0,5,3,3.75,1,4,0.324,0.439,0.748
Memphis Grizzlies,36,21,15,0.583333333,3591,3600,-9,6,0.666666667,7,0.428571429,0,0,0,0,4,1,1,2,3.25,1.75,1,5,0.343,0.438,0.782
Atlanta Hawks,37,16,21,0.432432432,3326,3379,-53,6,0.666666667,6,0.333333333,0,0,0,0,4,2,2,4,3.5,3.5,1,6,0.388,0.489,0.736
Boston Celtics,36,20,16,0.555555556,3364,3352,12,4,1,5,0.2,0,0,0,0,4,0,0,2,3,1.5,1,7,0.349,0.46,0.838
Los Angeles Lakers,33,21,12,0.636363636,3214,3227,-13,6,0.666666667,4,0,0,0,0,0,5,2,1,3,4.25,2.5,0,8,0.319,0.47,0.72
New Orleans Hornets,29,14,15,0.482758621,2726,2769,-43,6,0.333333333,0,0,0,0,0,0,1,1,1,0,1,0.25,0,9,0.316,0.48,0.758
Orlando Magic,30,18,12,0.6,2876,2865,11,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,10,0.304,0.522,0.782
Portland Trail Blazers,31,18,13,0.580645161,2937,2968,-31,6,0.333333333,0,0,0,0,0,0,1,1,2,1,1,1.25,0,11,0.347,0.479,0.711
San Antonio Spurs,31,16,15,0.516129032,3165,3184,-19,6,0.333333333,0,0,0,0,0,0,2,1,2,1,1.75,1.25,0,12,0.311,0.484,0.73
Denver Nuggets,29,18,11,0.620689655,3046,3070,-24,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,13,0.331,0.448,0.86
Indiana Pacers,31,12,19,0.387096774,3045,3082,-37,5,0.2,0,0,0,0,0,0,0,0,1,0,0,0.25,0,14,0.33,0.452,0.682
Philadelphia 76ers,30,14,16,0.466666667,2938,2975,-37,5,0.2,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,15,0.27,0.496,0.608
New York Knicks,31,13,18,0.419354839,3246,3280,-34,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,16,0.261,0.507,0.63
Miami Heat,54,45,9,0.833333333,5406,5258,148,4,1,5,0.8,7,0.571428571,7,0.571428571,5,2,1,6,4.25,4.75,3,1,0.409,0.521,0.767
San Antonio Spurs,48,30,18,0.625,4821,4674,147,4,1,6,0.666666667,4,1,7,0.428571429,6,2,0,6,5,4.5,2,2,0.396,0.536,0.78
Indiana Pacers,46,27,19,0.586956522,4374,4371,3,6,0.666666667,6,0.666666667,7,0.428571429,0,0,5,2,0,4,4.25,3,2,3,0.323,0.5,0.82
Memphis Grizzlies,44,29,15,0.659090909,4108,4099,9,6,0.666666667,5,0.8,4,0,0,0,4,1,1,4,3.25,3.25,1,4,0.38,0.476,0.727
New York Knicks,43,28,15,0.651162791,4151,4119,32,6,0.666666667,6,0.333333333,0,0,0,0,1,0,1,6,0.75,4.75,1,5,0.335,0.458,0.696
Golden State Warriors,40,22,18,0.55,4068,4066,2,6,0.666666667,6,0.333333333,0,0,0,0,5,1,0,4,4,3,1,6,0.355,0.507,0.73
Oklahoma City Thunder,39,26,13,0.666666667,4013,3998,15,6,0.666666667,5,0.2,0,0,0,0,3,1,2,3,2.5,2.75,1,7,0.342,0.515,0.737
Chicago Bulls,41,19,22,0.463414634,3807,3887,-80,7,0.571428571,5,0.2,0,0,0,0,4,1,1,3,3.25,2.5,0,8,0.347,0.469,0.797
Brooklyn Nets,34,19,15,0.558823529,3385,3371,14,7,0.428571429,0,0,0,0,0,0,1,1,0,0,1,0,0,9,0.343,0.414,0.828
Los Angeles Clippers,32,19,13,0.59375,3232,3265,-33,6,0.333333333,0,0,0,0,0,0,1,2,2,0,1.25,0.5,0,10,0.364,0.505,0.728
Houston Rockets,32,17,15,0.53125,3329,3364,-35,6,0.333333333,0,0,0,0,0,0,0,0,1,2,0,1.75,0,11,0.376,0.478,0.765
Denver Nuggets,33,25,8,0.757575758,3551,3576,-25,6,0.333333333,0,0,0,0,0,0,2,0,1,0,1.5,0.25,0,12,0.29,0.443,0.729
Boston Celtics,33,15,18,0.454545455,3140,3172,-32,6,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.313,0.492,0.833
Atlanta Hawks,36,17,19,0.472222222,3533,3564,-31,6,0.333333333,0,0,0,0,0,0,0,2,2,1,0.5,1.25,0,14,0.318,0.495,0.743
Los Angeles Lakers,31,19,12,0.612903226,3121,3196,-75,4,0,0,0,0,0,0,0,1,1,1,0,1,0.25,0,15,0.333,0.451,0.754
Milwaukee Bucks,33,12,21,0.363636364,3274,3333,-59,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,16,0.365,0.481,0.713
San Antonio Spurs,50,38,12,0.76,5360,5146,214,7,0.571428571,5,0.8,6,0.666666667,5,0.8,6,0,1,5,4.5,4,3,1,0.374,0.498,0.699
Miami Heat,50,29,21,0.58,4897,4862,35,4,1,5,0.8,6,0.666666667,5,0.2,4,2,0,5,3.5,3.75,2,2,0.34,0.462,0.738
Oklahoma City Thunder,46,26,20,0.565217391,4878,4898,-20,7,0.571428571,6,0.666666667,6,0.333333333,0,0,4,2,2,5,3.5,4.25,2,3,0.344,0.499,0.654
Indiana Pacers,47,25,22,0.531914894,4350,4369,-19,7,0.571428571,6,0.666666667,6,0.333333333,0,0,4,1,0,5,3.25,3.75,1,4,0.317,0.488,0.781
Washington Wizards,39,24,15,0.615384615,3876,3866,10,5,0.8,6,0.333333333,0,0,0,0,4,0,1,5,3,4,1,5,0.329,0.525,0.667
Los Angeles Clippers,39,26,13,0.666666667,4276,4250,26,7,0.571428571,6,0.333333333,0,0,0,0,3,1,2,2,2.5,2,1,6,0.403,0.456,0.722
Brooklyn Nets,42,24,18,0.571428571,4161,4177,-16,7,0.571428571,5,0.2,0,0,0,0,2,0,0,1,1.5,0.75,1,7,0.373,0.438,0.775
Portland Trail Blazers,39,23,16,0.58974359,4073,4142,-69,6,0.666666667,5,0.2,0,0,0,0,3,0,2,3,2.25,2.75,0,8,0.312,0.447,0.832
Atlanta Hawks,36,16,20,0.444444444,3562,3569,-7,7,0.428571429,0,0,0,0,0,0,0,0,1,1,0,1,0,9,0.366,0.486,0.68
Golden State Warriors,35,22,13,0.628571429,3704,3735,-31,7,0.428571429,0,0,0,0,0,0,1,2,1,1,1.25,1,0,10,0.303,0.41,0.704
Dallas Mavericks,34,20,14,0.588235294,3590,3604,-14,7,0.428571429,0,0,0,0,0,0,1,0,0,0,0.75,0,0,11,0.354,0.468,0.744
Memphis Grizzlies,36,23,13,0.638888889,3539,3577,-38,7,0.428571429,0,0,0,0,0,0,0,0,0,1,0,0.75,0,12,0.351,0.422,0.824
Toronto Raptors,35,22,13,0.628571429,3601,3612,-11,7,0.428571429,0,0,0,0,0,0,0,0,1,1,0,1,0,13,0.311,0.503,0.762
Houston Rockets,34,19,15,0.558823529,3776,3774,2,6,0.333333333,0,0,0,0,0,0,1,2,2,1,1.25,1.25,0,14,0.256,0.478,0.775
Chicago Bulls,34,21,13,0.617647059,3238,3261,-23,5,0.2,0,0,0,0,0,0,1,1,2,1,1,1.25,0,15,0.318,0.496,0.809
Charlotte Bobcats,31,18,13,0.580645161,3066,3105,-39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0.3,0.462,0.718
Golden State Warriors,52,41,11,0.788461538,5546,5382,164,4,1,6,0.666666667,5,0.8,6,0.666666667,5,1,2,7,4,5.75,3,1,0.406,0.506,0.725
Cleveland Cavaliers,47,34,13,0.723404255,4818,4738,80,4,1,6,0.666666667,4,1,6,0.333333333,2,2,1,3,2,2.5,2,2,0.393,0.492,0.735
Houston Rockets,46,29,17,0.630434783,4895,4937,-42,5,0.8,7,0.571428571,5,0.2,0,0,4,0,1,4,3,3.25,2,3,0.333,0.502,0.786
Atlanta Hawks,44,25,19,0.568181818,4392,4395,-3,6,0.666666667,6,0.666666667,4,0,0,0,5,2,1,6,4.25,4.75,1,4,0.298,0.469,0.737
Los Angeles Clippers,42,28,14,0.666666667,4496,4477,19,7,0.571428571,7,0.428571429,0,0,0,0,4,2,1,3,3.5,2.5,1,5,0.358,0.489,0.765
Washington Wizards,38,19,19,0.5,3709,3670,39,4,1,6,0.333333333,0,0,0,0,2,0,1,5,1.5,4,1,6,0.429,0.481,0.8
Chicago Bulls,40,22,18,0.55,3900,3859,41,6,0.666666667,6,0.333333333,0,0,0,0,4,1,2,5,3.25,4.25,1,7,0.381,0.436,0.74
Memphis Grizzlies,40,22,18,0.55,3774,3788,-14,5,0.8,6,0.333333333,0,0,0,0,4,2,0,2,3.5,1.5,0,8,0.333,0.491,0.795
San Antonio Spurs,36,24,12,0.666666667,3850,3847,3,7,0.428571429,0,0,0,0,0,0,2,0,1,1,1.5,1,0,9,0.308,0.423,0.839
Milwaukee Bucks,35,13,22,0.371428571,3297,3371,-74,6,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.383,0.464,0.82
Brooklyn Nets,36,19,17,0.527777778,3651,3684,-33,6,0.333333333,0,0,0,0,0,0,1,1,0,0,1,0,0,11,0.291,0.481,0.625
Portland Trail Blazers,34,16,18,0.470588235,3459,3493,-34,5,0.2,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,12,0.275,0.443,0.786
Dallas Mavericks,32,15,17,0.46875,3329,3350,-21,5,0.2,0,0,0,0,0,0,1,0,1,1,0.75,1,0,13,0.268,0.444,0.642
Boston Celtics,35,20,15,0.571428571,3550,3587,-37,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0.29,0.488,0.694
New Orleans Pelicans,33,18,15,0.545454545,3258,3290,-32,4,0,0,0,0,0,0,0,0,1,1,0,0.25,0.25,0,15,0.297,0.418,0.7
Toronto Raptors,33,13,20,0.393939394,3315,3371,-56,4,0,0,0,0,0,0,0,0,0,1,0,0,0.25,0,16,0.376,0.524,0.648
Cleveland Cavaliers,51,35,16,0.68627451,5405,5224,181,4,1,4,1,6,0.666666667,7,0.571428571,4,1,0,6,3.25,4.5,3,1,0.386,0.559,0.815
Golden State Warriors,54,40,14,0.740740741,6002,5897,105,5,0.8,5,0.8,7,0.571428571,7,0.428571429,6,2,1,8,5,6.25,2,2,0.42,0.544,0.767
Oklahoma City Thunder,46,26,20,0.565217391,5008,4913,95,5,0.8,6,0.666666667,7,0.428571429,0,0,5,2,2,6,4.25,5,2,3,0.369,0.517,0.773
Toronto Raptors,50,31,19,0.62,4995,5080,-85,7,0.571428571,7,0.571428571,6,0.333333333,0,0,3,0,1,6,2.25,4.75,1,4,0.35,0.506,0.773
Miami Heat,43,26,17,0.604651163,4470,4426,44,7,0.571428571,7,0.428571429,0,0,0,0,3,0,1,3,2.25,2.5,1,5,0.317,0.518,0.794
San Antonio Spurs,39,28,11,0.717948718,3944,3853,91,4,1,6,0.333333333,0,0,0,0,2,1,2,2,1.75,2,1,6,0.333,0.525,0.789
